City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethel,US,2022-07-26 17:55:52,41.3712,-73.414,83.05,51,97,1.01
1,Kalino,RU,2022-07-26 17:55:52,58.2504,57.6085,58.24,93,45,3.62
2,Salalah,OM,2022-07-26 17:55:54,17.0151,54.0924,76.28,97,100,6.46
3,Brodokalmak,RU,2022-07-26 17:55:55,55.5748,62.082,70.7,96,90,10.09
4,Cherskiy,RU,2022-07-26 17:55:55,68.75,161.3,40.08,75,17,9.04
5,Atuona,PF,2022-07-26 17:55:56,-9.8,-139.0333,77.49,74,5,16.93
6,Grenaa,DK,2022-07-26 17:55:56,56.4158,10.8783,59.22,72,54,5.01
7,Saint George,US,2022-07-26 17:55:11,37.1041,-113.5841,87.64,57,0,4.0
8,Olaine,LV,2022-07-26 17:55:57,56.7853,23.9381,63.93,94,0,4.61
9,Tuktoyaktuk,CA,2022-07-26 17:55:58,69.4541,-133.0374,59.0,94,100,3.44
10,Carnarvon,AU,2022-07-26 17:55:59,-24.8667,113.6333,63.59,57,0,12.01
11,Jamestown,US,2022-07-26 17:54:29,42.097,-79.2353,75.02,58,75,5.75
12,Ushuaia,AR,2022-07-26 17:53:58,-54.8,-68.3,38.86,52,20,4.61
13,Helong,CN,2022-07-26 17:56:00,42.5397,128.9972,68.59,95,81,3.13
14,Cabo San Lucas,MX,2022-07-26 17:55:12,22.8909,-109.9124,90.61,66,55,3.62
15,Launceston,AU,2022-07-26 17:53:57,-41.45,147.1667,42.15,97,100,0.0
16,Kaitangata,NZ,2022-07-26 17:56:02,-46.2817,169.8464,45.16,95,100,14.97
17,Ugoofaaru,MV,2022-07-26 17:56:04,5.6667,73.0,81.09,80,41,16.84
18,Fukuma,JP,2022-07-26 17:56:05,33.7667,130.4667,78.8,84,2,3.49
19,Rikitea,PF,2022-07-26 17:56:05,-23.1203,-134.9692,75.24,76,99,14.27
20,Nha Trang,VN,2022-07-26 17:56:07,12.25,109.1833,78.8,89,89,3.89
21,Saint-Philippe,RE,2022-07-26 17:56:09,-21.3585,55.7679,66.22,79,29,8.32
22,Mataura,NZ,2022-07-26 17:56:09,-46.1927,168.8643,44.47,97,100,7.52
23,Hobart,AU,2022-07-26 17:55:33,-42.8794,147.3294,44.46,96,100,1.14
24,Hilo,US,2022-07-26 17:56:10,19.7297,-155.09,79.29,97,72,1.01
25,Katherine,AU,2022-07-26 17:56:12,-14.4667,132.2667,62.92,63,8,8.05
26,Galle,LK,2022-07-26 17:56:13,6.0367,80.217,78.44,88,100,6.89
27,Bluff,NZ,2022-07-26 17:56:13,-46.6,168.3333,44.8,90,100,23.76
28,Punta Arenas,CL,2022-07-26 17:51:56,-53.15,-70.9167,37.42,74,87,6.4
29,Nicoya,CR,2022-07-26 17:56:14,10.1483,-85.452,82.9,68,77,2.35
30,Labrea,BR,2022-07-26 17:56:15,-7.2586,-64.7981,97.9,26,11,3.29
31,Tokmak,UA,2022-07-26 17:52:05,47.2514,35.7058,71.44,52,92,6.22
32,Kapaa,US,2022-07-26 17:56:16,22.0752,-159.319,78.78,77,22,5.01
33,Mersing,MY,2022-07-26 17:56:17,2.4312,103.8405,76.91,94,20,4.61
34,Xique-Xique,BR,2022-07-26 17:56:18,-10.8218,-42.7263,83.41,42,100,5.64
35,Tasiilaq,GL,2022-07-26 17:56:19,65.6145,-37.6368,37.83,93,100,1.9
36,Oranjemund,NA,2022-07-26 17:56:19,-28.55,16.4333,54.57,87,12,2.28
37,Cody,US,2022-07-26 17:56:20,44.5263,-109.0565,74.91,51,73,1.99
38,Talnakh,RU,2022-07-26 17:56:21,69.4865,88.3972,56.21,77,32,3.27
39,Tukrah,LY,2022-07-26 17:56:22,32.5341,20.5791,81.39,68,0,5.14
40,East London,ZA,2022-07-26 17:56:23,-33.0153,27.9116,61.74,77,0,6.91
41,Jacareacanga,BR,2022-07-26 17:56:24,-6.2222,-57.7528,99.1,24,60,3.24
42,Deniliquin,AU,2022-07-26 17:56:24,-35.5333,144.9667,47.82,80,63,12.17
43,Marsh Harbour,BS,2022-07-26 17:56:25,26.5412,-77.0636,84.63,76,53,17.6
44,New Norfolk,AU,2022-07-26 17:56:05,-42.7826,147.0587,44.1,87,98,2.91
45,Tiksi,RU,2022-07-26 17:56:26,71.6872,128.8694,51.66,83,73,1.95
46,Clyde River,CA,2022-07-26 17:56:27,70.4692,-68.5914,39.43,100,75,12.66
47,Takoradi,GH,2022-07-26 17:56:27,4.8845,-1.7554,76.03,85,98,12.06
48,Hot Springs,US,2022-07-26 17:56:28,34.5037,-93.0552,98.31,46,85,8.01
49,Tilichiki,RU,2022-07-26 17:56:29,60.4667,166.1,48.97,82,98,4.72
50,Chokurdakh,RU,2022-07-26 17:56:30,70.6333,147.9167,42.13,72,100,10.54
51,Ponta Do Sol,PT,2022-07-26 17:56:31,32.6667,-17.1,83.03,52,38,5.95
52,Beisfjord,NO,2022-07-26 17:56:33,68.3751,17.5988,55.45,97,100,3.8
53,Kutum,SD,2022-07-26 17:56:33,14.2,24.6667,88.25,25,87,7.11
54,Cidreira,BR,2022-07-26 17:55:49,-30.1811,-50.2056,64.99,83,21,12.44
55,Angoche,MZ,2022-07-26 17:56:34,-16.2325,39.9086,71.73,74,12,11.68
56,Ouahigouya,BF,2022-07-26 17:56:35,13.5828,-2.4216,94.59,39,93,9.69
57,Soller,ES,2022-07-26 17:56:37,39.7662,2.7152,87.85,64,6,1.01
58,Vaini,TO,2022-07-26 17:56:37,-21.2,-175.2,69.96,94,20,4.61
59,Yumen,CN,2022-07-26 17:56:38,40.2833,97.2,76.37,15,44,11.81
60,Taoudenni,ML,2022-07-26 17:56:39,22.6783,-3.9836,112.14,7,4,16.33
61,Norman Wells,CA,2022-07-26 17:56:39,65.282,-126.8329,69.84,52,40,8.05
62,Puerto Ayora,EC,2022-07-26 17:55:39,-0.7393,-90.3518,75.16,90,100,7.0
63,Aanekoski,FI,2022-07-26 17:56:40,62.6946,25.818,65.68,12,100,12.37
64,Saskylakh,RU,2022-07-26 17:56:41,71.9167,114.0833,64.36,88,68,3.83
65,Morros,BR,2022-07-26 17:56:42,-9.4467,-46.3003,88.95,26,99,9.93
66,Mar Del Plata,AR,2022-07-26 17:56:42,-38.0023,-57.5575,59.02,58,100,6.91
67,Port Alfred,ZA,2022-07-26 17:56:43,-33.5906,26.891,63.48,66,3,11.83
68,Yellowknife,CA,2022-07-26 17:56:44,62.456,-114.3525,64.92,55,40,2.3
69,Ahipara,NZ,2022-07-26 17:56:45,-35.1667,173.1667,55.72,79,99,16.78
70,Richards Bay,ZA,2022-07-26 17:56:46,-28.783,32.0377,58.98,79,0,5.32
71,Ribeira Grande,PT,2022-07-26 17:55:52,38.5167,-28.7,79.2,78,20,10.36
72,Dikson,RU,2022-07-26 17:56:47,73.5069,80.5464,47.26,81,84,25.14
73,Castro,BR,2022-07-26 17:56:48,-24.7911,-50.0119,73.8,41,0,2.53
74,Avarua,CK,2022-07-26 17:56:25,-21.2078,-159.775,69.85,73,100,11.5
75,Morondava,MG,2022-07-26 17:56:49,-20.2833,44.2833,73.56,69,0,19.35
76,Leshukonskoye,RU,2022-07-26 17:56:50,64.8989,45.7622,62.37,62,50,5.32
77,Tazovskiy,RU,2022-07-26 17:56:50,67.4667,78.7,53.13,74,97,4.85
78,Albany,US,2022-07-26 17:53:43,42.6001,-73.9662,78.58,49,86,1.01
79,Imeni Poliny Osipenko,RU,2022-07-26 17:56:51,52.4201,136.4853,53.26,97,43,5.32
80,Invermere,CA,2022-07-26 17:56:52,50.5167,-116.0354,78.37,38,6,0.96
81,Nikolskoye,RU,2022-07-26 17:56:52,59.7035,30.7861,75.79,67,84,6.17
82,North Platte,US,2022-07-26 17:56:53,41.1239,-100.7654,79.32,83,40,10.36
83,Fasa,IR,2022-07-26 17:56:53,28.9383,53.6482,85.24,42,75,18.41
84,Butaritari,KI,2022-07-26 17:56:54,3.0707,172.7902,81.79,73,42,17.76
85,Okhotsk,RU,2022-07-26 17:56:54,59.3833,143.3,55.45,90,94,6.06
86,Caxito,AO,2022-07-26 17:56:55,-8.5785,13.6643,71.06,87,55,7.56
87,Skjervoy,NO,2022-07-26 17:54:00,70.0311,20.9714,57.2,98,100,5.01
88,Colesberg,ZA,2022-07-26 17:56:56,-30.72,25.0972,56.97,49,43,6.87
89,Saint-Augustin,CA,2022-07-26 17:55:37,51.226,-58.6502,69.84,61,80,19.04
90,Esperance,AU,2022-07-26 17:55:56,-33.8667,121.9,51.64,81,99,8.86
91,Grand Gaube,MU,2022-07-26 17:56:57,-20.0064,57.6608,70.38,74,3,3.0
92,Sitka,US,2022-07-26 17:56:58,57.0531,-135.33,57.09,94,100,3.44
93,Lebu,CL,2022-07-26 17:56:58,-37.6167,-73.65,54.3,78,10,18.23
94,Arraial Do Cabo,BR,2022-07-26 17:56:59,-22.9661,-42.0278,78.76,73,20,20.71
95,Qaanaaq,GL,2022-07-26 17:56:59,77.484,-69.3632,43.88,60,4,1.16
96,Margate,GB,2022-07-26 17:57:00,51.3813,1.3862,65.3,66,95,1.99
97,Tongren,CN,2022-07-26 17:57:00,27.7172,109.1853,77.86,81,15,3.04
98,Prainha,BR,2022-07-26 17:57:01,-1.8,-53.48,92.39,43,79,3.89
99,Khatanga,RU,2022-07-26 17:57:03,71.9667,102.5,64.96,65,86,9.26
